001		妙蛙种子	16
002		妙蛙草	32
004		小火龙	16
005		火恐龙	36
007		杰尼龟	16
008		卡咪龟	36
010		绿毛虫	7
011		铁甲蛹	10
013		独角虫	7
014		铁壳蛹	10
016		波波	18
017		比比鸟	36
019		小拉达	20
021		烈雀	20
023		阿柏蛇	22
027		穿山鼠	22
029		尼多兰	16
032		尼多朗	16
041		超音蝠	22
043		走路草	21
046		派拉斯	24
048		毛球	31
050		地鼠	26
052		喵喵	28
054		可达鸭	33
056		猴怪	28
060		蚊香蝌蚪	25
063		凯西	16
066		腕力	28
069		喇叭芽	21
072		玛瑙水母	30
074		小拳石	25
077		小火马	40
079		呆呆兽	37
081		小磁怪	30
084		嘟嘟	31
086		小海狮	34
088		臭泥	38
092		鬼斯	25
096		催眠貘	26
098		大钳蟹	28
100		霹雳电球	30
104		卡拉卡拉	28
109		瓦斯弹	35
111		独角犀牛	42
116		墨海马	32
118		角金鱼	33
129		鲤鱼王	20
138		菊石兽	40
140		化石盔	40
147		迷你龙	30
148		哈克龙	55
