45	57	57	45
60	71	71	60
80	91	91	80
39	56	46	65
58	72	61	80
78	96	81	100
44	49	64	43
59	64	80	58
79	84	102	78
45	25	27	45
50	22	40	30
60	62	65	70
40	27	25	50
45	25	37	35
65	62	60	75
40	40	37	56
63	55	52	71
83	75	72	91
30	40	35	72
55	65	65	97
40	45	30	70
65	75	63	100
35	50	49	55
60	75	74	80
35	52	35	90
60	90	67	100
50	47	57	40
75	72	82	65
55	43	46	41
70	58	61	56
90	78	86	76
46	48	40	50
61	63	56	65
81	88	76	85
70	52	56	35
95	77	81	60
38	45	52	65
73	78	87	100
115	45	22	20
140	72	47	45
40	37	37	55
75	72	72	90
45	62	60	30
60	75	72	40
75	90	87	50
35	57	55	25
60	77	80	30
60	47	52	45
70	77	67	90
10	45	35	95
35	65	60	120
40	42	37	90
65	67	62	115
50	58	49	55
80	88	79	85
40	57	40	70
65	82	65	95
55	70	47	60
90	105	80	95
40	45	40	90
65	57	57	90
90	77	92	70
25	62	35	90
40	77	50	105
55	92	65	120
70	57	42	35
80	75	65	45
90	97	82	55
50	72	32	40
65	87	47	55
80	102	62	70
40	45	67	70
80	75	92	100
40	55	65	20
55	70	80	35
80	82	97	45
50	75	60	90
65	90	75	105
90	52	52	15
95	87	95	30
25	65	62	45
50	90	82	70
52	61	58	60
35	60	40	75
60	85	65	100
65	45	62	45
90	70	87	70
80	60	50	25
105	85	87	50
30	55	62	40
50	90	112	70
30	67	32	80
45	82	50	95
60	97	67	110
35	37	102	70
60	45	67	42
85	73	92	67
30	65	57	50
55	90	82	75
40	42	52	100
60	65	75	140
60	50	62	40
95	110	75	55
50	45	72	35
60	65	95	45
50	77	81	87
50	70	94	76
90	57	75	30
40	62	70	35
65	87	95	60
80	57	62	25
105	87	82	40
250	20	55	50
65	77	77	60
105	67	80	90
30	55	47	60
55	80	70	85
45	51	55	63
80	78	72	68
30	57	55	85
60	87	85	115
40	72	92	90
70	82	80	105
65	82	65	95
65	89	71	105
65	97	71	93
65	90	85	85
75	70	82	110
20	12	37	80
95	92	89	81
130	85	87	60
48	48	48	48
55	50	57	55
130	87	77	65
65	87	77	130
65	112	85	65
65	72	72	40
35	65	77	35
70	87	97	55
30	67	67	55
60	90	87	80
80	82	70	130
160	87	87	30
90	90	112	85
90	107	87	100
90	112	87	90
41	57	47	50
61	77	67	70
91	117	97	80
106	132	90	130
100	100	100	100
45	49	65	45
60	63	80	60
80	83	100	80
39	56	47	65
58	72	62	80
78	97	82	100
50	55	56	43
65	70	72	58
85	92	92	78
35	41	40	20
85	61	60	90
60	33	43	50
100	68	73	70
40	30	55	55
55	45	80	85
40	50	40	30
70	75	70	40
85	80	80	130
75	47	47	67
125	67	67	67
20	38	25	60
50	35	42	15
90	35	18	15
35	30	65	20
55	60	95	40
40	60	45	70
65	85	70	95
55	53	43	35
70	68	58	45
90	95	88	55
75	85	98	50
70	20	50	40
100	55	80	50
70	65	90	30
90	83	88	70
35	35	48	50
55	45	58	80
75	55	83	110
55	55	55	85
30	30	30	30
75	90	70	30
65	70	45	95
55	35	35	15
95	75	75	35
65	98	78	110
95	63	120	65
60	85	42	91
95	88	95	30
60	73	73	85
48	72	48	48
190	33	58	33
70	85	65	85
50	50	63	15
75	75	100	40
100	68	68	45
65	55	85	85
75	70	133	30
60	60	45	30
90	90	68	45
65	75	70	85
70	93	90	65
20	10	230	5
80	83	85	85
55	65	65	115
60	65	50	40
90	103	75	55
40	55	40	20
60	70	100	30
50	40	35	50
100	80	70	50
65	60	95	35
35	65	35	65
75	105	75	45
45	60	45	75
85	60	105	70
65	60	105	70
45	70	40	65
75	100	65	95
75	95	95	85
90	50	50	40
90	90	90	50
85	93	93	60
73	90	64	85
55	20	40	75
35	35	35	35
50	65	103	70
45	58	40	65
45	64	46	95
45	73	46	83
95	60	88	100
255	43	73	55
90	100	88	115
115	103	80	100
100	83	115	85
50	55	50	41
70	75	70	51
100	115	105	61
106	90	142	110
106	120	122	90
100	100	100	100
